ID,TeamName.1,TeamName.2,Actual,Pred_Override,Pred_Base,Brier_Override,Brier_Base,Override_Applied
2026_1234_1304,Iowa,Nebraska,1,0.42054,0.42054,0.33577,0.33577,0
2026_1235_1246,Iowa St,Kentucky,1,0.75304,0.75304,0.06099,0.06099,0
2026_1235_1397,Iowa St,Tennessee,0,0.64566,0.64566,0.41688,0.41688,0
2026_1235_1398,Iowa St,Tennessee St,1,1,0.98664,0,0.00018,1
2026_1242_1385,Kansas,St John's,0,0.48855,0.48855,0.23868,0.23868,0
2026_1242_1465,Kansas,Cal Baptist,1,0.88525,0.88525,0.01317,0.01317,0
2026_1246_1365,Kentucky,Santa Clara,1,0.57069,0.57069,0.18431,0.18431,0
2026_1257_1277,Louisville,Michigan St,0,0.4417,0.4417,0.1951,0.1951,0
2026_1257_1378,Louisville,South Florida,1,0.74222,0.74222,0.06645,0.06645,0
2026_1270_1435,McNeese St,Vanderbilt,0,0.15809,0.15809,0.02499,0.02499,0
2026_1274_1281,Miami FL,Missouri,1,0.61393,0.61393,0.14905,0.14905,0
2026_1274_1345,Miami FL,Purdue,0,0.25519,0.25519,0.06512,0.06512,0
2026_1275_1397,Miami OH,Tennessee,0,0.10809,0.10809,0.01168,0.01168,0
2026_1276_1387,Michigan,St Louis,1,1,0.8779,0,0.01491,1
2026_1276_1397,Michigan,Tennessee,1,0.7388,0.7388,0.06823,0.06823,0
2026_1277_1295,Michigan St,N Dakota St,1,0.93095,0.93095,0.00477,0.00477,0
2026_1304_1407,Nebraska,Troy,1,0.94329,0.94329,0.00322,0.00322,0
2026_1304_1435,Nebraska,Vanderbilt,1,0.47536,0.47536,0.27525,0.27525,0
2026_1314_1433,North Carolina,VCU,0,0.61735,0.61735,0.38112,0.38112,0
2026_1320_1385,Northern Iowa,St John's,0,0.20872,0.20872,0.04356,0.04356,0
2026_1326_1395,Ohio St,TCU,0,0.62517,0.62517,0.39084,0.39084,0
2026_1345_1400,Purdue,Texas,1,0.75313,0.75313,0.06094,0.06094,0
2026_1345_1474,Purdue,Queens NC,1,1,0.98011,0,4e-04,1
2026_1388_1401,St Mary's CA,Texas A&M,0,0.58435,0.58435,0.34146,0.34146,0
2026_1397_1438,Tennessee,Virginia,1,0.52252,0.52252,0.22799,0.22799,0
2026_1416_1417,UCF,UCLA,0,0.35267,0.35267,0.12438,0.12438,0
2026_1429_1437,Utah St,Villanova,1,0.4997,0.4997,0.2503,0.2503,0
2026_1438_1460,Virginia,Wright St,1,0.93773,0.93773,0.00388,0.00388,0
2026_3104_3257,Alabama,Louisville,0,0.2686,0.2686,0.07215,0.07215,0
2026_3104_3348,Alabama,Rhode Island,1,0.74646,0.74646,0.06428,0.06428,0
2026_3124_3181,Baylor,Duke,0,0.19308,0.19308,0.03728,0.03728,0
2026_3124_3304,Baylor,Nebraska,1,0.40218,0.40218,0.35739,0.35739,0
2026_3155_3425,Clemson,USC,0,0.24206,0.24206,0.05859,0.05859,0
2026_3158_3181,Col Charleston,Duke,0,0.01848,0.01848,0.00034,0.00034,0
2026_3160_3228,Colorado,Illinois,0,0.40408,0.40408,0.16328,0.16328,0
2026_3161_3277,Colorado St,Michigan St,0,0.12546,0.12546,0.01574,0.01574,0
2026_3163_3314,Connecticut,North Carolina,1,1,0.95152,0,0.00235,1
2026_3163_3323,Connecticut,Notre Dame,1,0.96566,0.96566,0.00118,0.00118,0
2026_3163_3376,Connecticut,South Carolina,0,0.67512,0.67512,0.45579,0.45579,0
2026_3163_3393,Connecticut,Syracuse,1,1,0.99038,0,9e-05,1
2026_3163_3427,Connecticut,UT San Antonio,1,1,0.99984,0,0,1
2026_3181_3261,Duke,LSU,1,0.24528,0.24528,0.5696,0.5696,0
2026_3181_3417,Duke,UCLA,0,0.11004,0.11004,0.01211,0.01211,0
2026_3192_3234,F Dickinson,Iowa,0,0,0.01978,0,0.00039,1
2026_3193_3323,Fairfield,Notre Dame,0,0.19024,0.19024,0.03619,0.03619,0
2026_3208_3438,Georgia,Virginia,0,0.61882,0.61882,0.38294,0.38294,0
2026_3211_3279,Gonzaga,Mississippi,0,0.17602,0.17602,0.03098,0.03098,0
2026_3219_3435,High Point,Vanderbilt,0,0,0.00716,0,5e-05,1
2026_3221_3276,Holy Cross,Michigan,0,0,0.00572,0,3e-05,1
2026_3224_3326,Howard,Ohio St,0,0.01028,0.01028,0.00011,0.00011,0
2026_3225_3328,Idaho,Oklahoma,0,0.06278,0.06278,0.00394,0.00394,0
2026_3228_3435,Illinois,Vanderbilt,0,0,0.23408,0,0.05479,1
2026_3234_3438,Iowa,Virginia,0,1,0.83004,1,0.68897,1
2026_3235_3393,Iowa St,Syracuse,0,0.61844,0.61844,0.38247,0.38247,0
2026_3239_3261,Jacksonville,LSU,0,0,0.0016,0,0,1
2026_3241_3246,James Madison,Kentucky,0,0.21304,0.21304,0.04539,0.04539,0
2026_3246_3400,Kentucky,Texas,0,0,0.12072,0,0.01457,1
2026_3246_3452,Kentucky,West Virginia,1,0.48754,0.48754,0.26262,0.26262,0
2026_3257_3276,Louisville,Michigan,0,0.39594,0.39594,0.15677,0.15677,0
2026_3257_3436,Louisville,Vermont,1,0.96022,0.96022,0.00158,0.00158,0
2026_3261_3403,LSU,Texas Tech,1,1,0.92726,0,0.00529,1
2026_3268_3293,Maryland,Murray St,1,0.9469,0.9469,0.00282,0.00282,0
2026_3268_3314,Maryland,North Carolina,0,0.55834,0.55834,0.31174,0.31174,0
2026_3275_3452,Miami OH,West Virginia,0,0.08882,0.08882,0.00789,0.00789,0
2026_3276_3301,Michigan,NC State,1,1,0.77504,0,0.05061,1
2026_3276_3400,Michigan,Texas,0,0.23658,0.23658,0.05597,0.05597,0
2026_3277_3328,Michigan St,Oklahoma,0,0.41364,0.41364,0.1711,0.1711,0
2026_3278_3279,Minnesota,Mississippi,1,0.63884,0.63884,0.13044,0.13044,0
2026_3278_3417,Minnesota,UCLA,0,0,0.08972,0,0.00805,1
2026_3278_3453,Minnesota,WI Green Bay,1,0.95218,0.95218,0.00229,0.00229,0
2026_3283_3400,Missouri St,Texas,0,0,0.0011,0,0,1
2026_3301_3397,NC State,Tennessee,1,0.47584,0.47584,0.27474,0.27474,0
2026_3314_3442,North Carolina,W Illinois,1,0.94574,0.94574,0.00294,0.00294,0
2026_3323_3326,Notre Dame,Ohio St,1,0.36488,0.36488,0.40338,0.40338,0
2026_3323_3435,Notre Dame,Vanderbilt,1,0.29444,0.29444,0.49781,0.49781,0
2026_3328_3376,Oklahoma,South Carolina,0,0,0.14036,0,0.0197,1
2026_3329_3343,Oklahoma St,Princeton,1,0.66424,0.66424,0.11273,0.11273,0
2026_3329_3417,Oklahoma St,UCLA,0,0,0.02522,0,0.00064,1
2026_3332_3400,Oregon,Texas,0,0,0.0551,0,0.00304,1
2026_3332_3439,Oregon,Virginia Tech,1,0.58856,0.58856,0.16928,0.16928,0
2026_3355_3449,S Dakota St,Washington,0,0.23244,0.23244,0.05403,0.05403,0
2026_3376_3380,South Carolina,Southern Univ,1,1,0.9999,0,0,1
2026_3376_3395,South Carolina,TCU,1,0.8678,0.8678,0.01748,0.01748,0
2026_3376_3417,South Carolina,UCLA,0,0.36784,0.36784,0.13531,0.13531,0
2026_3376_3425,South Carolina,USC,1,1,0.92812,0,0.00517,1
2026_3395_3438,TCU,Virginia,1,0.79312,0.79312,0.0428,0.0428,0
2026_3395_3449,TCU,Washington,1,0.58632,0.58632,0.17113,0.17113,0
2026_3395_3471,TCU,UC San Diego,1,0.96238,0.96238,0.00142,0.00142,0
2026_3400_3417,Texas,UCLA,0,0.37058,0.37058,0.13733,0.13733,0
2026_3403_3437,Texas Tech,Villanova,1,0.45152,0.45152,0.30083,0.30083,0
2026_3417_3465,UCLA,Cal Baptist,1,1,0.99932,0,0,1
