"ID","Pred","Actual","ActualWinner","ActualScore","Brier_Score","OverallBrier"
"2025_3104_3453",0.9274,1,3104,"81 - 67",0.00527076,NA
"2025_3162_3452",0.1636,0,3452,"78 - 59",0.02676496,NA
"2025_3301_3436",0.9503,1,3301,"75 - 55",0.00247009,NA
"2025_3195_3328",0.0965,0,3328,"81 - 58",0.00931225,NA
"2025_3422_3425",0.003,0,3425,"71 - 25",9e-06,NA
"2025_3181_3250",0.9777,1,3181,"86 - 25",0.000497289999999999,NA
"2025_3380_3417",0.0012,0,3417,"84 - 46",1.44e-06,NA
"2025_3332_3435",0.34,1,3332,"77 - 73",0.4356,NA
"2025_3286_3326",0.1167,0,3326,"71 - 51",0.01361889,NA
"2025_3257_3304",0.53,1,3257,"63 - 58",0.2209,NA
"2025_3123_3279",0.0886,0,3279,"83 - 65",0.00784996,NA
"2025_3210_3350",0.6362,0,3350,"74 - 49",0.40475044,NA
"2025_3378_3397",0.1076,0,3397,"101 - 66",0.01157776,NA
"2025_3193_3243",0.0593,0,3243,"85 - 41",0.00351649,NA
"2025_3124_3213",0.8794,1,3124,"73 - 60",0.01454436,NA
"2025_3192_3395",0.0035,0,3395,"73 - 51",1.225e-05,NA
"2025_3376_3399",0.9991,1,3376,"108 - 48",8.10000000000021e-07,NA
"2025_3235_3276",0.3741,0,3276,"80 - 74",0.13995081,NA
"2025_3246_3251",0.9207,1,3246,"79 - 78",0.00628849000000001,NA
"2025_3231_3428",0.4701,1,3231,"76 - 68",0.28079401,NA
"2025_3323_3372",0.9915,1,3323,"106 - 54",7.22499999999992e-05,NA
"2025_3219_3456",0.7027,0,3456,"69 - 63",0.49378729,NA
"2025_3162_3449",0.3827,1,3162,"63 - 60",0.38105929,NA
"2025_3380_3471",0.4528,1,3380,"68 - 56",0.29942784,NA
"2025_3235_3343",0.6979,1,3235,"68 - 63",0.09126441,NA
